frame,id1_cx,id1_cy,id1_x1,id1_y1,id1_x2,id1_y2,id1_conf,id2_cx,id2_cy,id2_x1,id2_y1,id2_x2,id2_y2,id2_conf,pt1_x,pt1_y,pt2_x,pt2_y,pt3_x,pt3_y,pt4_x,pt4_y,pt5_x,pt5_y,pt6_x,pt6_y,pt7_x,pt7_y,pt8_x,pt8_y,pt9_x,pt9_y,pt10_x,pt10_y,pt11_x,pt11_y,pt12_x,pt12_y,pt13_x,pt13_y,pt14_x,pt14_y,ball_x,ball_y,ball_conf
0,353.4437255859375,350.7937316894531,325.9499816894531,308.0624694824219,380.9374694824219,393.5249938964844,0.8935546875,514.7624664306641,90.43124008178711,498.8624572753906,70.63905334472656,530.6624755859375,110.22342681884766,0.88427734375,269.4166564941406,116.92056274414062,576.375,115.88540649414062,150.3046875,381.98956298828125,695.625,379.7812194824219,308.0625,116.98957824707031,218.90103149414062,382.2655944824219,538.0051879882812,115.88540649414062,627.71875,380.0572814941406,295.36456298828125,154.8072967529297,551.53125,153.9791717529297,250.2317657470703,289.23956298828125,595.6978759765625,287.58331298828125,422.89581298828125,154.3932342529297,422.89581298828125,288.41143798828125,,,
1,351.7190399169922,351.0093231201172,324.3998718261719,308.49365234375,379.0382080078125,393.5249938964844,0.90087890625,514.762451171875,90.3593864440918,498.91888427734375,70.6390609741211,530.6060180664062,110.0797119140625,0.8828125,269.27862548828125,116.85155487060547,576.375,115.95442199707031,150.3046875,381.98956298828125,695.625,379.7812194824219,308.0625,116.92056274414062,218.90103149414062,381.98956298828125,538.0051879882812,115.95442199707031,627.71875,380.0572814941406,295.36456298828125,154.8072967529297,551.53125,153.9791717529297,250.2317657470703,289.23956298828125,595.6978759765625,287.58331298828125,422.6197814941406,154.3932342529297,423.171875,288.1354064941406,,,
2,351.1004180908203,351.1756134033203,323.62322998046875,308.3086853027344,378.5776062011719,394.04254150390625,0.9013671875,514.762451171875,90.41173934936523,498.9769287109375,70.76837158203125,530.5479736328125,110.05510711669922,0.88427734375,269.4166564941406,116.92056274414062,576.9270629882812,116.02342987060547,150.3046875,381.98956298828125,695.625,379.7812194824219,308.0625,116.98957824707031,218.90103149414062,381.98956298828125,538.28125,116.02342987060547,627.71875,380.0572814941406,295.36456298828125,154.8072967529297,551.53125,153.9791717529297,250.2317657470703,289.23956298828125,595.6978759765625,287.8593444824219,422.89581298828125,154.3932342529297,422.89581298828125,288.41143798828125,,,
3,351.2521209716797,351.4127502441406,324.059814453125,308.8733215332031,378.4444274902344,393.9521789550781,0.8935546875,514.7624664306641,90.42940521240234,498.9903869628906,70.80873107910156,530.5345458984375,110.05007934570312,0.88134765625,269.4166564941406,116.92056274414062,576.375,115.95442199707031,150.3046875,381.98956298828125,695.625,379.7812194824219,308.0625,117.05858612060547,218.90103149414062,382.2655944824219,538.0051879882812,116.02342987060547,627.71875,380.0572814941406,295.36456298828125,154.8072967529297,551.53125,153.9791717529297,250.2317657470703,289.5155944824219,595.6978759765625,287.8593444824219,422.89581298828125,154.3932342529297,423.171875,288.41143798828125,,,
4,351.3324890136719,351.7895202636719,324.3215026855469,309.42449951171875,378.3434753417969,394.154541015625,0.87255859375,514.7624664306641,90.54145431518555,498.8385925292969,70.72672271728516,530.6863403320312,110.35618591308594,0.88671875,269.140625,117.05858612060547,576.375,116.02342987060547,150.4427032470703,381.98956298828125,695.625,379.7812194824219,307.78643798828125,117.12759399414062,219.03904724121094,382.2655944824219,538.0051879882812,116.02342987060547,627.71875,380.0572814941406,295.36456298828125,155.0833282470703,551.53125,154.1171875,250.36978149414062,289.5155944824219,595.6978759765625,287.8593444824219,422.6197814941406,154.53125,422.89581298828125,288.41143798828125,,,
5,351.5509033203125,351.3718566894531,324.3486633300781,308.52752685546875,378.7531433105469,394.2161865234375,0.88134765625,514.7624664306641,90.47469329833984,498.8451232910156,70.66771697998047,530.6798095703125,110.28166961669922,0.87890625,269.27862548828125,117.05858612060547,576.375,116.02342987060547,150.3046875,381.98956298828125,695.625,379.7812194824219,307.78643798828125,117.05858612060547,218.90103149414062,382.2655944824219,538.0051879882812,116.02342987060547,627.71875,380.0572814941406,295.36456298828125,154.9453125,551.53125,154.1171875,250.2317657470703,289.5155944824219,595.6978759765625,287.8593444824219,422.6197814941406,154.53125,422.89581298828125,288.41143798828125,,,
6,351.17095947265625,351.2196502685547,324.1187744140625,308.43853759765625,378.22314453125,394.0007629394531,0.87255859375,514.7624664306641,90.62308883666992,498.8061218261719,70.7623291015625,530.7188110351562,110.48384857177734,0.8759765625,269.27862548828125,116.92056274414062,576.375,115.95442199707031,150.3046875,381.98956298828125,695.625,380.0572814941406,307.78643798828125,116.98957824707031,218.90103149414062,382.2655944824219,538.0051879882812,115.95442199707031,627.71875,380.0572814941406,295.36456298828125,154.8072967529297,551.53125,153.9791717529297,250.2317657470703,289.5155944824219,595.6978759765625,287.8593444824219,422.89581298828125,154.3932342529297,422.89581298828125,288.41143798828125,,,
7,351.0954895019531,351.1617431640625,324.1565856933594,308.4058532714844,378.0343933105469,393.9176330566406,0.896484375,514.7624359130859,90.67521667480469,498.8373107910156,70.85319519042969,530.6875610351562,110.49723815917969,0.88037109375,269.69268798828125,116.64452362060547,576.375,115.88540649414062,150.3046875,381.98956298828125,695.625,380.33331298828125,308.3385314941406,116.71353149414062,218.90103149414062,382.2655944824219,538.0051879882812,115.88540649414062,627.71875,380.33331298828125,295.640625,154.53125,551.53125,153.9791717529297,250.50779724121094,289.23956298828125,595.6978759765625,287.8593444824219,422.89581298828125,154.2552032470703,423.171875,288.41143798828125,,,
8,351.3001403808594,351.13970947265625,324.44287109375,308.3942565917969,378.15740966796875,393.8851623535156,0.90478515625,514.762451171875,90.62168884277344,498.8802490234375,70.85731506347656,530.6446533203125,110.38606262207031,0.8828125,269.4166564941406,116.71353149414062,576.375,115.81639862060547,150.3046875,381.98956298828125,695.625,380.33331298828125,308.0625,116.71353149414062,218.90103149414062,382.2655944824219,538.0051879882812,115.81639862060547,627.71875,380.33331298828125,295.36456298828125,154.6692657470703,551.2551879882812,153.9791717529297,250.36978149414062,289.23956298828125,595.6978759765625,287.8593444824219,422.6197814941406,154.2552032470703,422.89581298828125,288.41143798828125,,,
9,351.380615234375,351.18724060058594,324.5061340332031,308.2784423828125,378.2550964355469,394.0960388183594,0.900390625,514.762451171875,90.61418151855469,498.86431884765625,70.8295669555664,530.6605834960938,110.39879608154297,0.8837890625,269.140625,117.05858612060547,576.375,116.02342987060547,150.3046875,381.98956298828125,695.625,379.7812194824219,307.78643798828125,117.05858612060547,219.03904724121094,382.2655944824219,538.0051879882812,116.02342987060547,627.71875,379.7812194824219,295.36456298828125,155.0833282470703,551.53125,154.1171875,250.36978149414062,289.5155944824219,595.6978759765625,287.8593444824219,422.6197814941406,154.53125,423.171875,288.41143798828125,,,
